,Blondes,Matures,Ladyboys,Threesomes,MILFs,Gaping,Public Nudity,Amateur,French,Foot Fetish,Black Gays,Handjobs,Gangbang,Hardcore,Italian,Midgets,Facials,Redheads,Czech,Hidden Cams,Fingering,Femdom,Sex Toys,Swedish,Nipples,Face Sitting,Vintage,Bisexuals,Swingers,Danish,Latin,Blowjobs,Pornstars,Men,Thai,Voyeur,Lingerie,Lesbians,Massage,Webcams,Chinese,Celebrities,Babysitters,Gothic,Hentai,Big Boobs,Cartoons,Turkish,Stockings,Indian,Tits,Brazilian,Bukkake,Korean,Close-ups,Grannies,Russian,Emo,Group Sex,Interracial,BBW,Strapon,Masturbation,Squirting,German,Shemales,Spanking,Showers,Cream Pie,Funny,Babes,Teens,Upskirts,Beach,Flashing,Hairy,POV,Arab,Latex,Softcore,British,Gays,Anal,Old+Young,Cumshots,Double Penetration,Brunettes,Cuckold,Japanese,Asian,BDSM,Black and Ebony
Cream Pie,-0.05,-0.15,-1.00,0.15,0.17,1.59,-0.76,0.49,-0.70,-0.68,-1.00,-0.31,2.22,0.02,-0.76,0.00,-0.45,-0.06,-0.14,-0.80,-0.75,-0.74,-0.67,-0.77,-0.72,0.39,-0.69,0.40,0.86,-0.43,-0.30,-0.17,-0.46,-0.93,0.05,-0.82,-0.39,-0.95,-0.60,-0.85,-0.85,-0.92,-0.61,-0.66,3.03,-0.36,0.23,-0.74,-0.56,-0.31,-0.61,-0.47,0.25,-0.32,1.39,-0.28,-0.41,-0.79,-0.15,2.36,0.16,-0.90,-0.80,0.12,-0.35,-0.89,-0.86,-0.69,-1.00,-0.76,-0.30,-0.10,-0.94,-0.87,-0.96,0.72,0.63,-0.78,-0.85,-0.94,-0.51,-0.99,1.12,-0.26,0.63,1.01,0.01,6.47,1.71,0.85,-0.77,0.46
Thai,-0.91,-0.75,-1.00,-0.43,-0.74,-0.83,-0.69,0.52,-0.73,-0.60,-1.00,-0.36,-0.76,-0.14,-1.00,-1.00,-0.09,-0.93,-1.00,-0.53,-0.47,-0.79,-0.37,-1.00,-0.38,-1.00,-0.39,-0.37,-0.47,0.57,-0.81,0.06,-0.39,-1.00,-1.00,-0.50,-0.69,-0.43,1.91,0.07,0.85,-0.33,-1.00,-0.07,-1.00,-0.72,-1.00,-0.39,-0.79,-0.83,-0.43,-0.70,0.02,-0.37,-0.18,-0.92,-0.91,-1.00,-0.36,-0.19,-0.92,-0.86,-0.55,1.04,-0.59,-1.00,-0.43,-0.49,0.05,-0.34,-0.53,0.11,-0.87,-0.46,-0.73,0.18,-0.28,-0.64,-0.58,-0.59,-0.84,-1.00,-0.20,-0.64,-0.15,-0.03,-0.40,-0.60,-0.64,15.56,-0.67,-0.27
Fingering,-0.01,-0.24,-1.00,-0.69,-0.38,1.74,-0.43,0.43,-0.33,-0.62,-1.00,-0.43,-0.84,-0.58,-0.53,-0.83,-0.91,-0.32,0.04,-0.27,-1.00,-0.53,1.72,-0.31,-0.06,-0.52,-0.78,-0.65,-0.67,-0.43,-0.39,-0.71,-0.64,-1.00,-0.47,-0.49,-0.06,2.84,1.02,1.28,-0.61,-0.74,-0.58,-0.13,-0.80,-0.53,-0.52,-0.71,0.16,-0.02,-0.47,-0.75,-0.89,-0.41,2.84,-0.11,-0.19,-0.28,-0.75,-0.87,-0.22,-0.14,3.90,2.65,-0.11,-1.00,-0.25,-0.03,-0.75,-0.52,0.26,0.08,-0.74,-0.53,0.14,0.05,-0.57,-0.50,-0.59,-0.57,0.21,-1.00,-0.29,-0.35,-0.81,-0.82,0.08,-0.85,-0.41,-0.19,-0.19,-0.30
Masturbation,0.08,0.14,-1.00,-0.92,-0.11,-0.08,0.32,0.73,-0.43,-0.18,-1.00,1.02,-0.95,-0.78,-0.04,-0.78,-0.83,0.25,-0.12,0.09,3.90,-0.34,3.74,0.27,-0.19,-0.79,-0.80,-0.46,-0.83,-0.33,-0.27,-0.53,-0.46,-1.00,-0.55,-0.04,0.51,-0.05,0.26,2.33,0.08,-0.65,-0.49,-0.16,-0.60,-0.18,-0.66,-0.47,0.26,-0.47,-0.35,-0.60,-0.81,-0.41,1.45,-0.27,-0.24,0.27,-0.91,-0.92,0.33,-0.78,-1.00,2.47,-0.25,-1.00,-0.73,0.51,-0.80,-0.33,0.16,0.57,-0.70,-0.55,0.58,0.51,-0.22,-0.46,-0.37,-0.23,0.13,-1.00,-0.67,-0.81,-0.59,-0.79,0.16,-0.90,-0.23,-0.22,-0.58,-0.36
Teens,0.40,-0.76,-1.00,0.04,-0.84,-0.13,0.10,0.58,-0.39,-0.41,-1.00,-0.20,-0.41,0.47,-0.61,-0.56,0.32,0.45,0.83,-0.19,0.08,-0.67,0.14,0.28,-0.37,-0.74,-0.60,-0.60,-0.65,0.64,0.11,0.18,-0.52,-1.00,0.11,-0.15,-0.32,0.60,0.49,1.14,-0.30,-0.48,3.82,0.20,-0.73,-0.52,-0.72,0.06,-0.69,-0.07,0.41,0.04,-0.56,-0.45,-0.41,-0.73,1.91,1.78,0.14,-0.47,-0.74,-0.68,0.57,-0.39,-0.06,-1.00,0.14,0.38,-0.10,0.01,0.52,-1.00,0.48,-0.07,-0.28,-0.25,0.32,-0.26,-0.73,-0.12,-0.58,-1.00,0.23,0.90,-0.05,-0.45,0.47,-0.79,-0.12,0.12,-0.53,-0.26
Massage,-0.34,-0.67,-1.00,-0.76,-0.54,-0.79,-0.67,-0.11,-0.29,0.48,-1.00,4.04,-0.83,-0.31,-0.29,-0.29,-0.88,-0.44,2.16,3.98,1.02,-0.53,-0.39,-0.60,1.24,-0.29,-0.62,-0.64,-1.00,-0.33,-0.52,-0.49,-0.50,-1.00,1.91,0.36,-0.01,2.62,-1.00,-0.37,1.35,-0.57,-1.00,-1.00,-0.72,0.29,-0.78,-0.74,-0.70,1.49,0.20,-0.81,-0.91,-0.47,0.31,-0.68,-0.35,3.13,-0.88,-0.63,-0.58,-0.43,0.26,0.91,-0.71,-1.00,-0.76,0.38,-0.60,-0.33,0.29,0.49,-0.89,-0.47,-0.40,-0.46,-0.65,-0.55,-0.91,1.48,-0.69,-1.00,-0.63,-0.53,-0.03,-0.90,-0.37,-0.62,7.05,3.28,-0.72,-0.49
Public Nudity,-0.28,-0.56,-1.00,-0.64,-0.60,-0.87,-1.00,0.77,0.21,-0.82,-1.00,0.17,-0.21,-0.37,-0.09,-0.58,-0.58,-0.33,1.82,2.29,-0.43,-0.85,-0.60,0.53,-0.28,-0.90,-0.55,-0.75,-0.07,-0.60,-0.47,-0.28,-0.51,-1.00,-0.69,3.58,-0.68,-0.50,-0.67,-0.62,-0.06,0.18,-1.00,-0.21,0.10,-0.47,-0.14,-0.51,-0.37,-0.26,0.04,-0.30,-0.54,-0.47,-0.64,-0.60,0.10,-0.52,0.32,-0.81,-0.63,-0.92,0.32,-0.61,0.39,-1.00,-0.65,-0.33,-0.76,2.97,-0.13,0.10,2.97,13.91,20.03,-0.32,-0.32,-0.38,-0.61,1.29,-0.29,-1.00,-0.67,-0.64,-0.48,-0.86,-0.49,-0.79,0.09,-0.22,-0.45,-0.52
POV,0.05,-0.63,-1.00,-0.69,0.19,-0.58,-0.32,0.75,-0.66,2.34,-1.00,1.05,-0.87,-0.24,-0.62,-0.40,0.68,0.18,3.19,-0.76,-0.57,2.63,-0.66,-0.66,-0.57,-0.10,-0.94,-0.82,-0.19,-0.91,0.28,1.32,0.49,-1.00,-0.28,-0.59,0.06,-0.87,-0.65,-0.83,-0.70,-0.79,-0.42,-0.22,0.02,-0.05,-0.76,-0.30,-0.21,-0.17,-0.39,-0.46,-0.68,-0.47,2.07,-0.88,-0.61,0.66,-0.72,-0.16,-0.22,-0.63,-0.22,-0.12,-0.60,-0.96,-0.66,-0.75,0.63,-0.62,-0.26,0.32,0.71,-0.81,-0.71,-0.42,-1.00,-0.74,-0.65,-0.23,0.06,-1.00,-0.23,-0.74,0.57,-0.93,0.11,-0.19,-0.67,-0.23,-0.68,0.24
Babes,0.93,-0.83,-1.00,-0.07,-0.53,-0.39,-0.13,-0.16,-0.48,-0.11,-1.00,-0.47,-0.68,0.93,-0.42,-0.60,-0.43,0.38,0.80,-0.68,0.26,-0.58,-0.10,0.18,0.14,-0.63,-0.39,-0.66,-0.25,-0.81,0.33,-0.30,0.78,-1.00,-0.53,-0.50,0.10,1.38,0.29,-0.03,-0.59,4.25,1.10,-0.16,0.96,0.39,0.52,-0.13,-0.14,0.09,0.13,0.03,-0.70,-0.49,-0.11,-0.99,-0.16,0.16,-0.23,-0.30,-0.69,-0.46,0.16,-0.19,-0.46,-1.00,-0.53,0.15,-0.30,0.29,-1.00,0.52,-0.39,0.37,-0.39,-0.49,-0.26,-0.14,0.01,4.22,0.04,-1.00,-0.00,-0.47,0.02,-0.60,1.04,-0.90,0.16,0.25,-0.37,-0.05
Blowjobs,0.63,-0.16,-1.00,0.03,0.01,-0.43,-0.28,0.53,-0.25,-0.51,-1.00,2.29,-0.29,0.23,-0.19,-0.28,2.36,0.39,-0.18,-0.75,-0.71,-0.80,-0.76,-0.19,-0.73,-0.19,-0.37,0.13,-0.40,-0.36,0.04,-1.00,0.01,-1.00,0.06,-0.79,0.04,-0.91,-0.49,-0.72,-0.22,-0.69,-0.11,0.53,0.24,-0.09,-0.10,-0.34,-0.64,0.16,0.06,-0.36,0.55,-0.50,-0.15,-0.44,-0.22,0.52,-0.16,0.34,-0.14,-0.86,-0.53,-0.73,-0.15,-0.94,-0.81,-0.67,-0.17,-0.37,-0.30,0.18,-0.94,-0.63,-0.89,-0.61,1.32,-0.17,-0.42,-0.95,-0.18,-0.98,-0.13,-0.51,2.17,-0.40,0.54,-0.63,-0.11,0.11,-0.56,0.44
